"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.491841630E-1,-3.328948980E-3,1.531316526E-2,1.065263641E-3
7.591517670E-1,-1.185105834E-2,1.531316526E-2,-0.000000000E0
7.691688500E-1,-5.459476262E-3,1.744369231E-2,1.065263641E-3
7.791414020E-1,-4.394212738E-3,1.744369231E-2,-0.000000000E0
7.890455170E-1,-6.524739787E-3,1.957421936E-2,-2.130527282E-3
7.990111420E-1,-1.331579551E-4,2.490053698E-2,-4.261054564E-3
8.089893710E-1,4.127896391E-3,2.596580051E-2,-3.195791040E-3
8.189562460E-1,-2.263685223E-3,2.170474641E-2,-5.326318089E-3
8.289132770E-1,3.062632866E-3,2.063948289E-2,-8.522109129E-3
8.388791630E-1,5.193160381E-3,2.170474641E-2,-1.704421826E-2
8.488517150E-1,-2.263685223E-3,2.277000993E-2,-2.556632832E-2
8.588182250E-1,9.321057005E-4,2.809632942E-2,-2.982738242E-2
8.687955170E-1,9.321057005E-4,2.916159295E-2,-3.302317113E-2
8.787631730E-1,-3.328948980E-3,3.022685647E-2,-3.515370190E-2
8.887161940E-1,3.062632866E-3,3.342264518E-2,-3.834949061E-2
8.986823400E-1,-2.263685223E-3,3.022685647E-2,-4.367581010E-2
9.086641630E-1,-6.524739787E-3,2.916159295E-2,-5.219791830E-2
9.186318710E-1,-3.328948980E-3,2.916159295E-2,-5.858949944E-2
9.285974960E-1,-3.328948980E-3,2.916159295E-2,-6.391581893E-2
9.385649440E-1,-8.655266836E-3,2.703106403E-2,-6.817687303E-2
9.485166630E-1,-1.331579551E-4,2.916159295E-2,-6.817687303E-2
9.584825480E-1,-3.328948980E-3,3.129211813E-2,-6.817687303E-2
9.684712980E-1,-1.331579551E-4,3.235738352E-2,-6.498108059E-2
9.784394750E-1,6.258423906E-3,3.448791057E-2,-6.498108059E-2
9.884021840E-1,-3.328948980E-3,3.555317223E-2,-6.285055727E-2
9.983698400E-1,-3.328948980E-3,3.661843762E-2,-6.072002649E-2
1.008324892E0,3.062632866E-3,3.874896467E-2,-5.645897239E-2
1.018291246E0,1.997369342E-3,3.981423005E-2,-5.326318368E-2
1.028265309E0,9.321057005E-4,3.981423005E-2,-4.793686420E-2
1.038232444E0,1.997369342E-3,4.301001877E-2,-4.261054471E-2
1.048202132E0,-1.331579551E-4,4.301001877E-2,-3.408843651E-2
1.058169475E0,-3.328948980E-3,4.407528415E-2,-2.663159184E-2
1.068133798E0,9.321057005E-4,4.940159991E-2,-1.704421826E-2
1.078100830E0,-3.328948980E-3,5.366265774E-2,-1.491369121E-2
1.088068382E0,-4.394212738E-3,6.111950055E-2,-1.384842768E-2
1.098035413E0,-4.394212738E-3,6.644582003E-2,-1.065263618E-2
1.108012288E0,-1.198421582E-3,6.964161247E-2,-7.456845604E-3
1.117980361E0,-1.198421582E-3,7.283740491E-2,-1.065263641E-3
1.127938277E0,4.127896391E-3,7.709845901E-2,1.065263641E-3
