"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.086641630E-1,-5.084748268E-1,5.038387299E0,8.473882675E0
9.186318710E-1,-6.882356405E-1,5.012066364E0,8.478668213E0
9.285974960E-1,-6.786643267E-1,5.045565605E0,8.390133858E0
9.385649440E-1,-6.592226624E-1,4.997709274E0,8.536095619E0
9.485166630E-1,-7.073782086E-1,4.918745995E0,8.478668213E0
9.584825480E-1,-7.097710371E-1,4.933103085E0,8.390133858E0
9.684712980E-1,-6.667001843E-1,4.992923737E0,8.593523026E0
9.784394750E-1,-7.193422914E-1,5.088636398E0,8.382954597E0
9.884021840E-1,-7.528418303E-1,5.107779026E0,8.332705498E0
9.983698400E-1,-8.102695942E-1,5.057529926E0,8.550452232E0
1.008324892E0,-9.346963167E-1,5.024030209E0,8.504988670E0
1.018291246E0,-9.801599979E-1,5.052743912E0,8.332705498E0
1.028265309E0,-9.801599979E-1,5.045565605E0,8.375776291E0
1.038232444E0,-1.061515927E0,5.105386257E0,8.380561829E0
1.048202132E0,-1.063908815E0,5.172385216E0,8.294420242E0
1.058169475E0,-9.849455953E-1,5.169992447E0,8.397312164E0
1.068133798E0,-8.796614408E-1,5.201398373E0,8.390133858E0
1.078100830E0,-7.576274872E-1,5.270790100E0,8.299205780E0
1.088068382E0,-7.217351198E-1,5.256433010E0,8.359026909E0
1.098035413E0,-7.839485407E-1,5.213362217E0,8.406883240E0
1.108012288E0,-8.222336769E-1,5.215754986E0,8.303992271E0
1.117980361E0,-7.552346587E-1,5.254040241E0,8.404490471E0
1.127938277E0,-7.336992621E-1,5.306682587E0,8.375776291E0
1.137905257E0,-8.174480200E-1,5.297111034E0,8.215457916E0
1.147882392E0,-1.121336460E0,5.282754421E0,8.287241936E0
1.157850413E0,-1.145264745E0,5.287539959E0,8.236992836E0
1.167820934E0,-1.011266708E0,5.443073273E0,8.071588516E0
1.177789215E0,-1.902294010E-1,6.108577251E0,7.748558044E0
1.187739736E0,-4.558327198E-1,5.670391560E0,7.197909832E0
1.197706194E0,-6.544370055E-1,5.450251579E0,9.211469650E0
1.207686038E0,1.824527234E-2,5.864509106E0,6.747759819E0
1.217653850E0,-6.550352275E-2,5.862116337E0,8.670392990E0
1.227620152E0,4.301098585E-1,5.969793320E0,8.562417030E0
1.237587809E0,-4.271188378E-1,5.933900833E0,7.365406990E0
1.247545361E0,-2.356930375E-1,5.670391560E0,8.725427628E0
1.257512027E0,-7.552346587E-1,5.651248932E0,7.348657608E0
1.267490725E0,-6.667001843E-1,5.998507500E0,7.782057285E0
1.277458538E0,-9.825528264E-1,5.653641701E0,7.664809227E0
1.287428902E0,-9.059824944E-1,5.728118420E0,8.344670296E0
1.297397027E0,-7.839485407E-1,5.795117378E0,7.643273830E0
1.307343173E0,-1.344168067E0,5.311468124E0,8.959924698E0
1.317309007E0,-1.171585798E0,5.471786976E0,8.878568649E0
1.327290361E0,-1.303490162E0,5.878866196E0,7.226623535E0
1.337257757E0,-1.210170031E0,5.672784328E0,7.779664516E0
1.347224684E0,-1.154836059E0,5.478965759E0,8.076375008E0
1.357192027E0,-9.777671695E-1,5.543571949E0,7.580761433E0
1.367154423E0,-1.183549881E0,5.254040241E0,8.624629974E0
1.377121246E0,-1.322632670E0,5.581857204E0,8.292027473E0
1.387100777E0,-1.176371455E0,5.840580940E0,7.568797112E0
1.397068902E0,-9.059824944E-1,5.512465000E0,8.699107170E0
1.407038330E0,-1.075872898E0,5.395216942E0,8.160422325E0
1.417006559E0,-1.147657514E0,5.141278744E0,7.609774113E0
1.426970517E0,-1.322632670E0,4.662714005E0,8.866603851E0
1.436938330E0,-1.140479088E0,5.009673119E0,8.263314247E0
1.446907288E0,-1.183549881E0,5.562714577E0,7.547261715E0
1.456875152E0,-1.214955688E0,5.091029167E0,8.435597420E0
1.466843434E0,-3.244966507E0,3.805485249E0,9.357432365E0
1.476811350E0,-7.624131441E-1,4.674678326E0,8.749356270E0
1.486766975E0,-1.461416483E0,4.921138763E0,8.648857117E0
1.496733642E0,-1.820638895E0,5.342574596E0,8.404490471E0
1.506709788E0,-1.099801064E0,5.541179180E0,6.783652306E0
1.516677444E0,-1.322632670E0,5.150849819E0,8.770891190E0
1.526649267E0,-2.172383785E0,4.585844517E0,8.437990189E0
1.536617288E0,-1.322632670E0,5.306682587E0,8.030911446E0
1.546572444E0,-1.588235974E0,4.964209557E0,9.323932648E0
1.556539163E0,-1.839781523E0,4.849354267E0,7.980661869E0
1.566501559E0,-4.066302776E0,2.704188585E0,8.292027473E0
1.576467861E0,-3.384049416E0,3.144767046E0,1.050179958E1
1.586446142E0,-1.839781523E0,5.222933769E0,4.920839787E0
1.596413590E0,9.137591720E-1,8.213064194E0,7.236194611E0
1.606371038E0,-2.721835673E-2,6.024828434E0,8.940781593E0
1.616337496E0,-2.854936600E0,5.447858810E0,1.059751225E1
1.626295517E0,-3.575475216E0,4.708177567E0,6.536892414E0
1.636261142E0,-2.596212626E0,4.640879631E0,8.449954033E0
1.646251975E0,-1.959422588E0,5.165206909E0,6.300003052E0
1.656220152E0,-4.414757788E-1,5.464608669E0,7.003791809E0
1.666174267E0,-9.658030272E-1,5.098207951E0,1.136381340E1
1.676140986E0,-2.979363203E0,6.470192432E0,7.446763039E0
1.686091871E0,-4.329812527E0,7.823034763E0,5.181956768E0
1.696056975E0,-3.637688637E0,6.515655994E0,7.176374435E0
1.706046298E0,-1.473380566E0,6.218945980E0,7.944769382E0
